Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Account.1
2021-12-14,CUB - online payment,Groceries,,Lunch,40.0,Expense,,0.8,USD,40.0
2021-12-16,CUB - online payment,Groceries,,Egg,30.0,Expense,,0.6,USD,30.0
2021-12-16,CUB - online payment,Groceries,,Panipoori,20.0,Expense,,0.4,USD,20.0
2021-12-16,CUB - online payment,Groceries,,Lunch,30.0,Expense,,0.6,USD,30.0
2021-12-16,CUB - online payment,Groceries,,Milk with bharath,110.0,Expense,,2.2,USD,110.0
2021-12-17,CUB - online payment,General,,Gave to gowdham,50.0,Expense,,1.0,USD,50.0
2021-12-17,CUB - online payment,Groceries,,Lunch with company,110.0,Expense,,2.2,USD,110.0
2021-12-17,CUB - online payment,Groceries,,Milk with bharath,70.0,Expense,,1.4,USD,70.0
2021-12-18,CUB - online payment,Groceries,,Lunch,160.0,Expense,,3.2,USD,160.0
2021-12-18,CUB - online payment,Dining out,,Spiderman ,363.72,Expense,,7.274400000000001,USD,363.72
2021-12-18,CUB - online payment,Groceries,,To rahul,113.0,Expense,,2.26,USD,113.0
2021-12-18,CUB - online payment,General,,To abijith,200.0,Expense,,4.0,USD,200.0
2021-12-18,CUB - online payment,General,,To kumara,100.0,Expense,,2.0,USD,100.0
2021-12-19,CUB - online payment,General,,To siva,100.0,Expense,,2.0,USD,100.0
2021-12-20,CUB - online payment,General,,Taxi,80.0,Expense,,1.6,USD,80.0
2021-12-20,CUB - online payment,Groceries,,Snacks,20.0,Expense,,0.4,USD,20.0
2021-12-20,CUB - online payment,Groceries,,Milk with bharath,80.0,Expense,,1.6,USD,80.0
2021-12-20,CUB - online payment,Groceries,,Lunch with barath,85.0,Expense,,1.7,USD,85.0
2021-12-20,CUB - online payment,Groceries,,Milk with bharath,40.0,Expense,,0.8,USD,40.0
2021-12-20,CUB - online payment,Groceries,,Water,20.0,Expense,,0.4,USD,20.0
2021-12-21,CUB - online payment,Groceries,,Bun,18.0,Expense,,0.36,USD,18.0
2021-12-21,CUB - online payment,Groceries,,Puffs,25.0,Expense,,0.5,USD,25.0
2021-12-21,CUB - online payment,Groceries,,Dinner with barath,239.0,Expense,,4.78,USD,239.0
2021-12-23,CUB - online payment,Groceries,,Puffs and coffee,32.0,Expense,,0.64,USD,32.0
